Problem,Variant,Ci,Pi,Ri,SolReq Score
Climate Change,Global carbon pricing,0.9,0.85,0.95,0.2422
Global Health Inequities,Universal healthcare coverage,0.8,0.9,0.9,0.216
Biodiversity Loss,Expand protected areas & wildlife corridors,0.75,0.7,0.85,0.1487
Pandemic Preparedness,Global genomic surveillance infrastructure,0.8,0.75,0.9,0.18
Water Scarcity,Smart irrigation and drought-resistant crops,0.7,0.8,0.8,0.1493
Air Pollution,Stricter vehicle emission standards,0.65,0.85,0.75,0.1381
Food Insecurity,Precision agriculture and soil health,0.7,0.8,0.85,0.1587
Technological Unemployment,National upskilling systems,0.6,0.9,0.8,0.144
Political Instability,Participatory budgeting & citizen assemblies,0.6,0.75,0.85,0.1275
Misinformation & Data Privacy,Algorithm transparency & audit mandates,0.7,0.9,0.9,0.189
